TOKEN,NE
Norbury,B-place
Park,I-place
",",0
Burney,0
was,0
friends,0
with,0
Frederica,0
and,0
William,0
Lock,0
(,0
or,0
Locke,0
),0
",",0
whose,0
new,0
manor,0
house,0
in,0
Norbury,0
Park,0
was,0
constructed,0
in,0
the,0
1770s,0
.,0
July,0
10,0
th,0
.,0
1784,0
I,0
can,0
by,0
no,0
means,0
bear,0
to,0
wait,0
so,0
long,0
as,0
till,0
next,0
Winter,0
",",0
before,0
I,0
entreat,0
my,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
's,0
pardon,0
for,0
my,0
apparent,0
neglect,0
of,0
all,0
her,0
kindneſs,0
during,0
the,0
laſt,0
month,0
of,0
my,0
stay,0
in,0
Town,0
:,0
but,0
as,0
She,0
knew,0
the,0
uneasineſs,0
which,0
dampt,0
all,0
my,0
pleaſure,0
even,0
in,0
the,0
charming,0
party,0
at,0
Hampton,B-place
",",0
I,0
hope,0
when,0
she,0
hears,0
that,0
the,0
fatal,0
termination,0
of,0
that,0
suspence,0
",",0
made,0
me,0
wish,0
for,0
nothing,0
but,0
to,0
haſten,0
into,0
the,0
Country,0
",",0
to,0
recruit,0
both,0
my,0
Health,0
&,0
Spirits,0
",",0
she,0
will,0
forgive,0
my,0
silence,0
",",0
omiſsions,0
",",0
&,0
various,0
misdemeanours,0
",",0
&,0
receive,0
next,0
Winter,0
",",0
with,0
her,0
wonted,0
good,0
humour,0
",",0
&,0
“,0
agreeable,0
smiles,0
",",0
”,0
her,0
obliged,0
humble,0
servant,0
F,B-pers
:,I-pers
Burney,I-pers
If,0
Mrs.,B-pers
Vesey,I-pers
is,0
still,0
in,0
Town,0
",",0
may,0
I,0
beg,0
you,0
to,0
present,0
my,0
best,0
Respects,0
to,0
her,0
?,0
And,0
may,0
I,0
entreat,0
you,0
to,0
have,0
the,0
goodneſs,0
to,0
tell,0
both,0
Her,0
&,0
Mr,B-pers
.,I-pers
&,0
Mrs.,B-pers
Pepys,I-pers
",",0
In,0
fact,0
",",0
Mr,0
Pepys,0
collects,0
Hamilton,0
on,0
10,0
July,0
for,0
‘,0
a,0
pleasant,0
airing,0
to,0
Thames,0
Ditton,0
’,0
(,0
diary,0
entry,0
HAM/2/11,0
p.59,0
),0
.,0
when,0
you,0
see,0
them,0
",",0
that,0
nothing,0
but,0
a,0
string,0
of,0
the,0
moſt,0
uncomfortable,0
circumstances,0
should,0
have,0
prevented,0
my,0
waiting,0
upon,0
them,0
before,0
I,0
left,0
Town,0
?,0
Miſs,B-pers
Burney,I-pers
July,0
1784,0
On,0
her,0
return,0
from,0
Thames,0
Ditton,0
on,0
12,0
July,0
1784,0
",",0
she,0
writes,0
:,0
‘,0
Received,0
letters,0
from,0
the,0
Ducheſs,0
Dowg,0
r,0
of,0
Portland,0
&,0
Miſs,0
Burney,0
(,0
y,0
e,0
authoreſs,0
of,0
Cecilia,0
&,0
c.,0
..,0
),0
’,0
(,0
HAM/2/11,0
p.80,0
),0
.,0
