TOKEN,NE
The,0
first,0
image,0
concerns,0
the,0
marbled,0
outer,0
cover,0
of,0
the,0
manuscript,0
.,0
Contents,0
From,0
this,0
list,0
of,0
contents,0
",",0
only,0
the,0
letters,0
and,0
notes,0
by,0
Mary,0
Delany,0
(,0
some,0
written,0
by,0
her,0
waiting-woman,0
Anne,0
Astley,0
),0
",",0
her,0
niece,0
Georgina,0
Mary,0
Anne,0
Port,0
",",0
Hester,0
Chapone,0
and,0
Elizabeth,0
Montagu,0
remain,0
.,0
Letters,0
from,0
Miss,B-pers
&,0
Dr.,B-pers
Burney,I-pers
Letters,0
from,0
Mrs-,B-pers
Delany,I-pers
&,0
her,0
niec,0
e,0
2,0
Do,0
.,0
from,0
Mrs-,B-pers
Chapone,I-pers
Note,0
from,0
Mrs-,B-pers
Montagu,I-pers
Do,0
.,0
from,0
Sir,B-pers
Joshua,I-pers
Reynolds,I-pers
Letters,0
from,0
Horace,B-pers
Walpole,I-pers
The,0
dealer,0
's,0
description,0
of,0
the,0
manuscript,0
has,0
been,0
pasted,0
here,0
.,0
Maggs,0
",",0
July,0
'36,0
",",0
£52.10s,0
Yale,0
bought,0
the,0
manuscript,0
from,0
the,0
antiquarian,0
booksellers,0
Maggs,0
Bros.,0
Ltd,0
in,0
July,0
1936,0
.,0
Bookplate,0
",",0
which,0
reads,0
'Ex,0
Museo,0
Arbuteano,0
W.S,0
.,0
Lewis,0
',0
.,0
YALE/LWLPR/MSS/VOL/75/1,0
p.1,0
YALE/LWLPR/MSS/VOL/75/1,0
p.2,0
YALE/LWLPR/MSS/VOL/75/1,0
p.3,0
YALE/LWLPR/MSS/VOL/75/1,0
p.4,0
YALE/LWLPR/MSS/VOL/75/2,0
p.1,0
YALE/LWLPR/MSS/VOL/75/2,0
p.2,0
YALE/LWLPR/MSS/VOL/75/3,0
p.1,0
YALE/LWLPR/MSS/VOL/75/3,0
p.2,0
YALE/LWLPR/MSS/VOL/75/3,0
p.3,0
YALE/LWLPR/MSS/VOL/75/3,0
p.4,0
YALE/LWLPR/MSS/VOL/75/4,0
p.1,0
YALE/LWLPR/MSS/VOL/75/4,0
p.2,0
YALE/LWLPR/MSS/VOL/75/4,0
p.3,0
YALE/LWLPR/MSS/VOL/75/4,0
p.4,0
YALE/LWLPR/MSS/VOL/75/5,0
p.1,0
YALE/LWLPR/MSS/VOL/75/5,0
p.2,0
YALE/LWLPR/MSS/VOL/75/6,0
p.1,0
YALE/LWLPR/MSS/VOL/75/7,0
YALE/LWLPR/MSS/VOL/75/6,0
p.2,0
YALE/LWLPR/MSS/VOL/75/8,0
YALE/LWLPR/MSS/VOL/75/9,0
p.1,0
YALE/LWLPR/MSS/VOL/75/9,0
p.2,0
YALE/LWLPR/MSS/VOL/75/9,0
p.3,0
YALE/LWLPR/MSS/VOL/75/9,0
p.4,0
YALE/LWLPR/MSS/VOL/75/10,0
p.1,0
YALE/LWLPR/MSS/VOL/75/10,0
p.2,0
YALE/LWLPR/MSS/VOL/75/11,0
p.1,0
YALE/LWLPR/MSS/VOL/75/11,0
p.2,0
YALE/LWLPR/MSS/VOL/75/12,0
p.1,0
YALE/LWLPR/MSS/VOL/75/12,0
p.2,0
YALE/LWLPR/MSS/VOL/75/13,0
p.1,0
YALE/LWLPR/MSS/VOL/75/14,0
p.1,0
YALE/LWLPR/MSS/VOL/75/15,0
p.1,0
YALE/LWLPR/MSS/VOL/75/13,0
p.2,0
YALE/LWLPR/MSS/VOL/75/14,0
p.2,0
YALE/LWLPR/MSS/VOL/75/15,0
p.2,0
YALE/LWLPR/MSS/VOL/75/16,0
p.1,0
YALE/LWLPR/MSS/VOL/75/16,0
p.2,0
YALE/LWLPR/MSS/VOL/75/17,0
p.1,0
YALE/LWLPR/MSS/VOL/75/17,0
p.2,0
YALE/LWLPR/MSS/VOL/75/17,0
p.3,0
YALE/LWLPR/MSS/VOL/75/17,0
p.4,0
YALE/LWLPR/MSS/VOL/75/18,0
YALE/LWLPR/MSS/VOL/75/19,0
p.1,0
YALE/LWLPR/MSS/VOL/75/20,0
YALE/LWLPR/MSS/VOL/75/19,0
p.2,0
YALE/LWLPR/MSS/VOL/75/21,0
p.1,0
YALE/LWLPR/MSS/VOL/75/21,0
p.2,0
YALE/LWLPR/MSS/VOL/75/22,0
p.1,0
YALE/LWLPR/MSS/VOL/75/22,0
p.2,0
YALE/LWLPR/MSS/VOL/75/23,0
YALE/LWLPR/MSS/VOL/75/24,0
YALE/LWLPR/MSS/VOL/75/25,0
p.1,0
YALE/LWLPR/MSS/VOL/75/25,0
p.2,0
YALE/LWLPR/MSS/VOL/75/26,0
p.1,0
YALE/LWLPR/MSS/VOL/75/26,0
p.2,0
YALE/LWLPR/MSS/VOL/75/27,0
p.1,0
YALE/LWLPR/MSS/VOL/75/27,0
p.2,0
YALE/LWLPR/MSS/VOL/75/28,0
p.1,0
YALE/LWLPR/MSS/VOL/75/28,0
p.2,0
YALE/LWLPR/MSS/VOL/75/29,0
p.1,0
YALE/LWLPR/MSS/VOL/75/30,0
YALE/LWLPR/MSS/VOL/75/29,0
p.2,0
YALE/LWLPR/MSS/VOL/75/31,0
p.1,0
YALE/LWLPR/MSS/VOL/75/31,0
p.2,0
YALE/LWLPR/MSS/VOL/75/32,0
p.1,0
YALE/LWLPR/MSS/VOL/75/32,0
p.2,0
YALE/LWLPR/MSS/VOL/75/33,0
p.1,0
YALE/LWLPR/MSS/VOL/75/33,0
p.2,0
YALE/LWLPR/MSS/VOL/75/34,0
p.1,0
YALE/LWLPR/MSS/VOL/75/34,0
p.2,0
YALE/LWLPR/MSS/VOL/75/35,0
p.1,0
YALE/LWLPR/MSS/VOL/75/35,0
p.2,0
YALE/LWLPR/MSS/VOL/75/36,0
p.1,0
YALE/LWLPR/MSS/VOL/75/36,0
p.2,0
YALE/LWLPR/MSS/VOL/75/37,0
p.1,0
YALE/LWLPR/MSS/VOL/75/37,0
p.2,0
YALE/LWLPR/MSS/VOL/75/37,0
p.3,0
YALE/LWLPR/MSS/VOL/75/37,0
p.4,0
YALE/LWLPR/MSS/VOL/75/38,0
p.1,0
YALE/LWLPR/MSS/VOL/75/39,0
p.1,0
YALE/LWLPR/MSS/VOL/75/38,0
p.2,0
YALE/LWLPR/MSS/VOL/75/39,0
p.2,0
YALE/LWLPR/MSS/VOL/75/40,0
p.1,0
YALE/LWLPR/MSS/VOL/75/40,0
p.2,0
YALE/LWLPR/MSS/VOL/75/41,0
p.1,0
YALE/LWLPR/MSS/VOL/75/42,0
YALE/LWLPR/MSS/VOL/75/41,0
p.2,0
YALE/LWLPR/MSS/VOL/75/43,0
p.1,0
YALE/LWLPR/MSS/VOL/75/43,0
p.2,0
YALE/LWLPR/MSS/VOL/75/44,0
p.1,0
YALE/LWLPR/MSS/VOL/75/44,0
p.2,0
YALE/LWLPR/MSS/VOL/75/44,0
p.3,0
YALE/LWLPR/MSS/VOL/75/44,0
p.4,0
YALE/LWLPR/MSS/VOL/75/45,0
p.1,0
YALE/LWLPR/MSS/VOL/75/46,0
p.1,0
YALE/LWLPR/MSS/VOL/75/45,0
p.2,0
YALE/LWLPR/MSS/VOL/75/46,0
p.2,0
YALE/LWLPR/MSS/VOL/75/47,0
YALE/LWLPR/MSS/VOL/75/48,0
p.1,0
YALE/LWLPR/MSS/VOL/75/48,0
p.2,0
YALE/LWLPR/MSS/VOL/75/49,0
p.1,0
YALE/LWLPR/MSS/VOL/75/50,0
p.1,0
YALE/LWLPR/MSS/VOL/75/51,0
p.1,0
YALE/LWLPR/MSS/VOL/75/49,0
p.2,0
YALE/LWLPR/MSS/VOL/75/50,0
p.2,0
YALE/LWLPR/MSS/VOL/75/51,0
p.2,0
YALE/LWLPR/MSS/VOL/75/52,0
p.1,0
YALE/LWLPR/MSS/VOL/75/52,0
p.2,0
YALE/LWLPR/MSS/VOL/75/52,0
p.3,0
YALE/LWLPR/MSS/VOL/75/52,0
p.4,0
YALE/LWLPR/MSS/VOL/75/53,0
p.1,0
YALE/LWLPR/MSS/VOL/75/53,0
p.2,0
YALE/LWLPR/MSS/VOL/75/54,0
p.1,0
YALE/LWLPR/MSS/VOL/75/54,0
p.2,0
YALE/LWLPR/MSS/VOL/75/55,0
p.1,0
YALE/LWLPR/MSS/VOL/75/56,0
p.1,0
YALE/LWLPR/MSS/VOL/75/55,0
p.2,0
YALE/LWLPR/MSS/VOL/75/56,0
p.2,0
YALE/LWLPR/MSS/VOL/75/57,0
p.1,0
YALE/LWLPR/MSS/VOL/75/57,0
p.2,0
YALE/LWLPR/MSS/VOL/75/58,0
p.1,0
YALE/LWLPR/MSS/VOL/75/58,0
p.2,0
YALE/LWLPR/MSS/VOL/75/58,0
p.3,0
YALE/LWLPR/MSS/VOL/75/58,0
p.4,0
YALE/LWLPR/MSS/VOL/75/59,0
p.1,0
YALE/LWLPR/MSS/VOL/75/59,0
p.2,0
YALE/LWLPR/MSS/VOL/75/60,0
p.1,0
YALE/LWLPR/MSS/VOL/75/60,0
p.2,0
YALE/LWLPR/MSS/VOL/75/61,0
p.1,0
YALE/LWLPR/MSS/VOL/75/61,0
p.2,0
YALE/LWLPR/MSS/VOL/75/62,0
p.1,0
YALE/LWLPR/MSS/VOL/75/63,0
p.2,0
YALE/LWLPR/MSS/VOL/75/62,0
p.1,0
YALE/LWLPR/MSS/VOL/75/63,0
p.2,0
YALE/LWLPR/MSS/VOL/75/64,0
p.1,0
YALE/LWLPR/MSS/VOL/75/64,0
p.2,0
YALE/LWLPR/MSS/VOL/75/65,0
p.1,0
YALE/LWLPR/MSS/VOL/75/66,0
p.1,0
YALE/LWLPR/MSS/VOL/75/65,0
p.2,0
YALE/LWLPR/MSS/VOL/75/66,0
p.2,0
YALE/LWLPR/MSS/VOL/75/67,0
p.1,0
YALE/LWLPR/MSS/VOL/75/67,0
p.2,0
YALE/LWLPR/MSS/VOL/75/68,0
p.1,0
YALE/LWLPR/MSS/VOL/75/69,0
p.1,0
YALE/LWLPR/MSS/VOL/75/68,0
p.2,0
YALE/LWLPR/MSS/VOL/75/69,0
p.2,0
YALE/LWLPR/MSS/VOL/75/70,0
p.1,0
YALE/LWLPR/MSS/VOL/75/70,0
p.2,0
YALE/LWLPR/MSS/VOL/75/71,0
p.1,0
YALE/LWLPR/MSS/VOL/75/71,0
p.2,0
YALE/LWLPR/MSS/VOL/75/72,0
p.1,0
YALE/LWLPR/MSS/VOL/75/72,0
p.2,0
YALE/LWLPR/MSS/VOL/75/73,0
p.1,0
YALE/LWLPR/MSS/VOL/75/73,0
p.2,0
YALE/LWLPR/MSS/VOL/75/74,0
p.1,0
YALE/LWLPR/MSS/VOL/75/74,0
p.2,0
YALE/LWLPR/MSS/VOL/75/74,0
p.3,0
YALE/LWLPR/MSS/VOL/75/74,0
p.4,0
