TOKEN,NE
36a,0
St,0
James,0
Place,0
Monday,0
Morn——,0
10,0
th,0
June,0
1783,0
Mrs,B-pers
Delany,I-pers
s,0
best,0
Compliments,0
to,0
Miſs,B-pers
Hamelton,I-pers
and,0
Desires,0
to,0
know,0
how,0
she,0
does,0
--,0
and,0
whether,0
she,0
is,0
to,0
have,0
the,0
Company,0
Pleasure,0
of,0
her,0
Company,0
to,0
Chelsea,B-place
to,0
morrow,0
morning,0
if,0
she,0
is,0
--,0
she,0
will,0
call,0
Her,0
in,0
the,0
Duchess,B-pers
of,I-pers
Portland,I-pers
s,0
Coach,0
--,0
at,0
what,0
Hour,0
she,0
thinks,0
Proper,0
--,0
and,0
Desires,0
she,0
will,0
let,0
Her,0
know,0
by,0
the,0
Bearer,0
--,0
Miſs,B-pers
Hamelton,I-pers
