TOKEN	NE
Contents	O
Letters	O
from	O
Miss	B-pers
&	O
Dr.	B-pers
Burney	I-pers
Letters	O
from	O
Mrs-	B-pers
Delany	I-pers
&	O
her	O
niec	O
e	O
2	O
Do	O
.	O
from	O
Mrs-	B-pers
Chapone	I-pers
Note	O
from	O
Mrs-	B-pers
Montagu	I-pers
Do	O
.	O
from	O
Sir	B-pers
Joshua	I-pers
Reynolds	I-pers
Letters	O
from	O
Horace	B-pers
Walpole	I-pers
YALE/LWLPR/MSS/VOL/75/1	O
p.1	O
YALE/LWLPR/MSS/VOL/75/1	O
p.2	O
YALE/LWLPR/MSS/VOL/75/1	O
p.3	O
YALE/LWLPR/MSS/VOL/75/1	O
p.4	O
YALE/LWLPR/MSS/VOL/75/2	O
p.1	O
YALE/LWLPR/MSS/VOL/75/2	O
p.2	O
YALE/LWLPR/MSS/VOL/75/3	O
p.1	O
YALE/LWLPR/MSS/VOL/75/3	O
p.2	O
YALE/LWLPR/MSS/VOL/75/3	O
p.3	O
YALE/LWLPR/MSS/VOL/75/3	O
p.4	O
YALE/LWLPR/MSS/VOL/75/4	O
p.1	O
YALE/LWLPR/MSS/VOL/75/4	O
p.2	O
YALE/LWLPR/MSS/VOL/75/4	O
p.3	O
YALE/LWLPR/MSS/VOL/75/4	O
p.4	O
YALE/LWLPR/MSS/VOL/75/5	O
p.1	O
YALE/LWLPR/MSS/VOL/75/5	O
p.2	O
YALE/LWLPR/MSS/VOL/75/6	O
p.1	O
YALE/LWLPR/MSS/VOL/75/7	O
YALE/LWLPR/MSS/VOL/75/6	O
p.2	O
YALE/LWLPR/MSS/VOL/75/8	O
YALE/LWLPR/MSS/VOL/75/9	O
p.1	O
YALE/LWLPR/MSS/VOL/75/9	O
p.2	O
YALE/LWLPR/MSS/VOL/75/9	O
p.3	O
YALE/LWLPR/MSS/VOL/75/9	O
p.4	O
YALE/LWLPR/MSS/VOL/75/10	O
p.1	O
YALE/LWLPR/MSS/VOL/75/10	O
p.2	O
YALE/LWLPR/MSS/VOL/75/11	O
p.1	O
YALE/LWLPR/MSS/VOL/75/11	O
p.2	O
YALE/LWLPR/MSS/VOL/75/12	O
p.1	O
YALE/LWLPR/MSS/VOL/75/12	O
p.2	O
YALE/LWLPR/MSS/VOL/75/13	O
p.1	O
YALE/LWLPR/MSS/VOL/75/14	O
p.1	O
YALE/LWLPR/MSS/VOL/75/15	O
p.1	O
YALE/LWLPR/MSS/VOL/75/13	O
p.2	O
YALE/LWLPR/MSS/VOL/75/14	O
p.2	O
YALE/LWLPR/MSS/VOL/75/15	O
p.2	O
YALE/LWLPR/MSS/VOL/75/16	O
p.1	O
YALE/LWLPR/MSS/VOL/75/16	O
p.2	O
YALE/LWLPR/MSS/VOL/75/17	O
p.1	O
YALE/LWLPR/MSS/VOL/75/17	O
p.2	O
YALE/LWLPR/MSS/VOL/75/17	O
p.3	O
YALE/LWLPR/MSS/VOL/75/17	O
p.4	O
YALE/LWLPR/MSS/VOL/75/18	O
YALE/LWLPR/MSS/VOL/75/19	O
p.1	O
YALE/LWLPR/MSS/VOL/75/20	O
YALE/LWLPR/MSS/VOL/75/19	O
p.2	O
YALE/LWLPR/MSS/VOL/75/21	O
p.1	O
YALE/LWLPR/MSS/VOL/75/21	O
p.2	O
YALE/LWLPR/MSS/VOL/75/22	O
p.1	O
YALE/LWLPR/MSS/VOL/75/22	O
p.2	O
YALE/LWLPR/MSS/VOL/75/23	O
YALE/LWLPR/MSS/VOL/75/24	O
YALE/LWLPR/MSS/VOL/75/25	O
p.1	O
YALE/LWLPR/MSS/VOL/75/25	O
p.2	O
YALE/LWLPR/MSS/VOL/75/26	O
p.1	O
YALE/LWLPR/MSS/VOL/75/26	O
p.2	O
YALE/LWLPR/MSS/VOL/75/27	O
p.1	O
YALE/LWLPR/MSS/VOL/75/27	O
p.2	O
YALE/LWLPR/MSS/VOL/75/28	O
p.1	O
YALE/LWLPR/MSS/VOL/75/28	O
p.2	O
YALE/LWLPR/MSS/VOL/75/29	O
p.1	O
YALE/LWLPR/MSS/VOL/75/30	O
YALE/LWLPR/MSS/VOL/75/29	O
p.2	O
YALE/LWLPR/MSS/VOL/75/31	O
p.1	O
YALE/LWLPR/MSS/VOL/75/31	O
p.2	O
YALE/LWLPR/MSS/VOL/75/32	O
p.1	O
YALE/LWLPR/MSS/VOL/75/32	O
p.2	O
YALE/LWLPR/MSS/VOL/75/33	O
p.1	O
YALE/LWLPR/MSS/VOL/75/33	O
p.2	O
YALE/LWLPR/MSS/VOL/75/34	O
p.1	O
YALE/LWLPR/MSS/VOL/75/34	O
p.2	O
YALE/LWLPR/MSS/VOL/75/35	O
p.1	O
YALE/LWLPR/MSS/VOL/75/35	O
p.2	O
YALE/LWLPR/MSS/VOL/75/36	O
p.1	O
YALE/LWLPR/MSS/VOL/75/36	O
p.2	O
YALE/LWLPR/MSS/VOL/75/37	O
p.1	O
YALE/LWLPR/MSS/VOL/75/37	O
p.2	O
YALE/LWLPR/MSS/VOL/75/37	O
p.3	O
YALE/LWLPR/MSS/VOL/75/37	O
p.4	O
YALE/LWLPR/MSS/VOL/75/38	O
p.1	O
YALE/LWLPR/MSS/VOL/75/39	O
p.1	O
YALE/LWLPR/MSS/VOL/75/38	O
p.2	O
YALE/LWLPR/MSS/VOL/75/39	O
p.2	O
YALE/LWLPR/MSS/VOL/75/40	O
