TOKEN	NE
This	0
note	0
was	0
originally	0
catalogued	0
together	0
with	0
HAM/1/7/13/5	0
(	0
2	0
)	0
as	0
HAM/1/7/13/5	0
.	0
To	0
find	0
you	0
fully	0
comprehend	0
me	0
,	0
is	0
my	0
dear	0
Miſs	B-pers
Hamilton	I-pers
is	0
very	0
satisfactory	0
,	0
And	0
let	0
the	0
earliest	0
opportunity	0
of	0
acknowledging	0
the	0
exchange	0
likewise	0
convince	0
how	0
inestimably	0
it	0
is	0
Valued	0
by	0
your	0
very	0
sincere	0
and	0
affect	0
Friend	0
E	B-pers
Schwellenberg	I-pers
Queens	0
House	0
9	0
th	0
:	0
Decbr	0
.	0
1782	0
