TOKEN	NE
Copy	O
of	O
Mrs.	B-pers
D——	I-pers
's	O
letter	O
to	O
meſsage	O
to	O
ye	B-pers
.	I-pers
Queen	I-pers
Through	O
Miſs	B-pers
Hamilton	I-pers
wrote	O
under	O
ye	O
.	O
above	O
.	O
With	O
ye	O
.	O
utmost	O
fearfulneſs	O
of	O
being	O
too	O
presumptuous	O
Mrs.	B-pers
Delany	I-pers
most	O
earnestly	O
wishes	O
to	O
offer	O
this	O
lowly	O
tribute	O
of	O
her	O
most	O
humble	O
duty	O
&	O
warmest	O
gratitude	O
to	O
ye	B-pers
.	I-pers
Queen	I-pers
.	O
the	O
apprehension	O
yt	O
it	O
may	O
be	O
ye	O
.	O
last	O
effort	O
she	O
shall	O
be	O
able	O
to	O
exert	O
of	O
this	O
work	O
wch	O
.	O
has	O
been	O
much	O
honor	O
'd	O
by	O
her	B-pers
Majesty	I-pers
's	O
approbation	O
,	O
urges	O
&	O
emboldens	O
her	O
to	O
lay	O
this	O
at	O
her	B-pers
M	I-pers
's	O
feet	O
,	O
&	O
if	O
in	O
ye	O
.	O
smallest	O
degree	O
it	O
shoud	O
prove	O
acceptable	O
&	O
recd	O
.	O
as	O
a	O
testimony	O
of	O
her	O
profound	O
respect	O
,	O
Her	O
highest	O
ambition	O
will	O
be	O
gratified	O
.	O
