TOKEN	NE
Dear	O
Miſs	B-pers
Hamilton	I-pers
I	O
am	O
Much	O
obliged	O
by	O
Your	O
kind	O
Enquiries	O
,	O
I	O
did	O
not	O
know	O
You	O
was	O
returned	O
till	O
Yesterday	O
Evening	O
--	O
I	O
have	O
still	O
a	O
little	O
Complaint	O
in	O
My	O
Stomach	O
;	O
&	O
shall	O
not	O
go	O
out	O
,	O
either	O
tomorrow	O
or	O
Tuesday	O
Evening	O
--	O
I	O
meant	O
to	O
have	O
Requested	O
the	O
Favor	O
of	O
Your	O
Company	O
;	O
If	O
you	O
will	O
let	O
Me	O
know	O
Which	O
will	O
suit	O
You	O
Best	O
;	O
I	O
will	O
send	O
the	O
Coach	O
,	O
as	O
It	O
is	O
now	O
at	O
My	O
Disposal	O
;	O
Sr.	B-pers
Harry	I-pers
being	O
out	O
of	O
Town	O
;	O
--	O
I	O
am	O
dear	O
Miſs	B-pers
Hamilton	I-pers
Yrs	O
.	O
Most	O
Affecly-	O
Frances	B-pers
Harpur	I-pers
Sunday	O
--	O
